category	word	link on verb	link on VP
vbg	collapsing	0	1
vbg	boring	0	1
vbd	fuck	0	1
vb	enforce	0	1
vbd	analyzed	0	1
vb	pesky	0	1
vb	invade	0	1
vbz	uses	0	1
vbn	related	0	2
vbd	denied	0	2
vb	mesmerize	0	1
vb	exterminate	0	1
vbp	play	0	1
vbd	contained	0	1
vb	quit	0	1
vbg	becoming	0	1
vbd	ate	0	1
vb	unite	0	1
vbz	pays	0	1
vb	digitize	0	1
vb	tighten	0	1
vb	verify	0	1
vbz	gives	0	1
vbz	presents	0	1
vbn	accepted	0	1
vb	fill	0	1
vb	kiss	0	1
vb	tie	0	1
vb	legalize	0	1
vb	detoxify	0	1
vbd	returned	0	1
vbn	born	0	1
vbp	forgave	0	1
vbz	wants	0	2
vbz	rickrolls	0	1
vbn	enhanced	0	1
vbp	open	0	1
vbp	press	0	1
vb	redesign	0	1
vbz	enters	0	1
vbn	invent	0	1
vbp	imagine	0	1
vbz	puts	0	1
vb	own	0	1
vb	rewrite	0	1
vb	track	0	1
vbg	visualising	0	1
vb	turn	0	1
vbz	takes	0	1
vb	adjust	0	1
vb	woo	0	1
vbd	panned	0	1
vb	examine	0	1
vb	maximize	0	1
vbn	canceled	0	1
vb	address	0	2
vbg	contributing	0	1
vb	enter	0	1
vbg	joining	0	1
vbz	crime	0	1
vbz	oh	0	1
vbn	interviewed	0	1
vbg	emphasizing	0	1
vbz	misses	0	1
vb	reproduce	0	1
vb	define	0	1
